source_archive,file_path,reason
mau_hd_gtgt_dien_va_nuoc_pdf.zip,manifest.txt,Non-PDF file in archive
mau_hd_ban_hang_va_bien_lai_pdf.zip,manifest.txt,Non-PDF file in archive
